fips,farms,fland,tcland,clay,sand,flood,kfact,lslop,irr,perm,wet,moist,salt,year,rvalue_lb_acre,rvalue_me,rtfsale,rtotexp,rprofit,rgpay_tot,rvalue_me_acre,rprofit_acre
1049,2080,223.685,129.898,0,0,0,.23400225,94.445068,0,2.3866591,.025676999,.15934417,0,1997,2152.26964996856,69190.06948228883,255.562658142947,210.7795228463634,44.78313529658352,.92614138,309319.22,200206.25
1049,1894,210.733,121.145,0,0,.0010504202,.23563026,93.771011,0,2.3862395,.025676999,.15873949,0,1992,1685.438773148148,55741.15879629629,195.3795804398148,156.7662865740741,38.61329386574074,.65538144,264510.81,183233.25
1051,713,141.703,75.08199999999999,0,.056198347,.16363636,.23254545,60.173553,0,3.4466116,.1374554,.11394215,0,1982,1395.277175645521,,32.06482993305706,,,,,
1051,519,104.364,59.477,0,0,.23809524,.24779047,67.380951,0,3.2285714,.1365042,.12164762,0,1992,1187.878935185185,18759.09016203704,21.51916180555556,17.04714699074074,4.472014814814814,1.5818307,179746.75,42850.168
1051,622,128.572,69.696,0,0,.19324578,.24564728,63.649155,0,3.3515947,.1369798,.11708255,0,1987,1077.871857923497,22167.47281420765,24.59908346994536,19.7771,4.821983469945355,3.1155901,172412.91,37504.148
1051,633,104.316,44.951,0,0,.23809524,.24779047,73.952377,0,3.2285714,.1365042,.12211429,0,2002,1968,23147,11.999,15.905,-3.906,1.4119999,221893.09,-37443.922
1051,737,160.82,87.788,0,.056198347,.16363636,.23254545,60.173553,0,3.4466116,.1374554,.11394215,0,1978,1303.399694055944,,38.00558828671329,,,,,
1051,560,124.26,61.97,0,0,.23809524,.24779047,73.952377,0,3.2285714,.1365042,.12211429,0,1997,1798.830538671138,21633.96436805701,21.18343858729826,16.93453322154684,4.248905365751415,.71342337,174102.41,34193.668
1053,362,85.872,55.162,0,0,0,.22364046,94.08989,0,2.9602246,.1687479,.10724719,0,1992,1002.348148148148,20526.45162037037,18.13382731481482,14.03889780092593,4.094929513888888,1.4324423,239035.44,47686.434
1053,414,90.646,63.833,0,0,0,.22364046,94.08989,0,2.9602246,.1685836,.10724719,0,1987,1373.646721311475,22817.32431693989,53.72437554644809,47.3239781420765,6.400397404371584,2.0974419,251719.05,70608.711
1053,542,102.476,74.14400000000001,0,.046653144,0,.21667343,90.811356,0,3.4813387,.1684193,.10461461,0,1982,1869.770959515461,,31.80767421102965,,,,,
1053,380,87.056,52.386,0,0,0,.22354546,94.375,0,2.9547727,.1687479,.10731819,0,1997,1222.855690630895,21860.86355061832,20.01512596939845,15.05716065814295,4.957965311255503,1.2817622,251112.66,56951.449
